"","Date","Total","Public Housing","Private assisted","Private unassisted","Prefabs","Housing associations","Demolitions","Adjustments","Housing Stock Estimate","Private Build Rate","Public Build Rate","Total Build Rate","Estimated Change in Housing Stock","Rate of Stock Growth","Rate of Stock Growth Two Year Rolling Average"
"68",1925-01-01,173.4,44.2,62.8,66.4,0,0,NA,-29.8106135986733,8360.4171804363,1.54537742808257,0.528681751712459,2.07405917979503,143.589386401329,1.71749068619845,1.91365037516233
"69",1926-01-01,217.6,74.1,79.7,63.9,0,0,NA,-37.4093974571586,8540.60778297914,1.68137916702117,0.867619751227499,2.54899891824867,180.19060254284,2.1098100641262,2.1868509157802
"70",1927-01-01,238.9,104,74.5,60.3,0,0,NA,-41.0712548369264,8738.43652814221,1.54261004890149,1.190144251378,2.73275430027949,197.828745163075,2.2638917674342,1.92236758660463
"71",1928-01-01,169.5,55.7,49.1,64.7,0,0,NA,-29.1401326699834,8878.79639547223,1.28170525520816,0.627337282206453,1.90904253741461,140.359867330017,1.58084340577506,1.71543014534795
"72",1929-01-01,202.1,60.2,50.1,91.7,0,0,NA,-34.7446655610834,9046.15172991115,1.56751737350522,0.665476346156658,2.23299371966188,167.355334438915,1.85001688492084,1.75278093469472
"73",1930-01-01,183.9,55.9,2.6,125.4,0,0,NA,-31.6157545605306,9198.43597535062,1.39154091350971,0.60771200832182,1.99925292183153,152.284245439472,1.6555449844686,1.89992155951825
"74",1931-01-01,200.8,70.1,2.3,128.4,0,0,273,-16.894459352802,9400,1.39042553191489,0.745744680851064,2.13617021276596,201.564024649382,2.1442981345679,1.93966306487701
"75",1932-01-01,200.5,56,2.5,142,0,0,NA,-16.8692186266772,9565.97229737114,1.51056260156336,0.585408343858466,2.09597094542183,165.972297371138,1.73502799518612,2.11198841693591
"76",1933-01-01,266.6,55.8,2.9,207.9,0,0,NA,-22.4305919494871,9810.14170542165,2.14879668744744,0.568799123147851,2.71759581059529,244.169408050513,2.48894883868569,2.73490291486805
"77",1934-01-01,329.1,41.6,1.1,286.4,0,0,NA,-27.6890765588004,10111.5526288628,2.8432824369558,0.411410606529953,3.25469304348575,301.410923441199,2.9808569910504,2.91977305867735
"78",1935-01-01,324.9,52.4,0.2,272.3,0,0,NA,-27.3357063930546,10409.1169224698,2.61789738773866,0.503404855477086,3.12130224321575,297.564293606945,2.8586891263043,2.90695846001262
"79",1936-01-01,346.1,71.7,0.8,273.5,0,0,NA,-29.1193843725336,10726.0975380973,2.55731405598106,0.668463061661838,3.2257771176429,316.980615627466,2.95522779372093,2.87855432007741
"80",1937-01-01,337.6,78,2.6,257.1,0,0,NA,-28.404230465667,11035.2933076316,2.35335838169703,0.706823079600958,3.06018146129799,309.195769534332,2.8018808464339,2.74327118059134
"81",1938-01-01,332.4,101.7,4.2,226.4,0,0,NA,-27.9667245461722,11339.7265830854,2.03355873098358,0.896847020559542,2.93040575154313,304.43327545383,2.68466151474877,2.12476746273279
"82",1939-01-01,196,50.5,2.8,142.7,0,0,NA,-0.278453038673921,11520,1.26302083333333,0.438368055555556,1.70138888888889,180.273416914577,1.56487341071681,1.02370593255455
"83",1940-01-01,42.5,15.4,0.6,26.4,0,0,285,-2.09016393442538,11575.8579661123,0.233244050497518,0.133035495468955,0.366279545966473,55.857966112324,0.48253845439228,0.28148455404042
"84",1941-01-01,9.8,2.9,0.1,5.5,0,0,NA,-0.481967213114559,11585.1759988992,0.0483376342364768,0.0250319891581755,0.0733696233946523,9.31803278688494,0.0804306536885613,0.0795789184689846
"85",1942-01-01,9.6,1.4,0.1,2.5,0,0,NA,-0.472131147540793,11594.3038677517,0.0224248047114896,0.0120748948446483,0.0344996995561379,9.12786885245805,0.078727183249408,0.0631344551103355
"86",1943-01-01,5.8,2.5,0.1,1.1,0,0,NA,-0.285245901639229,11599.81862185,0.0103449893409507,0.0215520611269806,0.0318970504679313,5.51475409836166,0.047541726971263,0.0463020418922968
"87",1944-01-01,5.5,2.4,0.1,1.7,0,0,NA,-0.270491803278579,11605.0481300467,0.0155104914674124,0.0206806552898832,0.0361911467572955,5.22950819672042,0.0450623568133306,0.000771997170677951
"88",1945-01-01,10.4,0,0,0.9,8.9,0,48,-1.05981068131355,11600,0.00775862068965517,0.0767241379310345,0.0844827586206897,-5.04813004674907,-0.0435183624719747,0.506884587255447
"89",1946-01-01,122,21.3,0,29.7,70.9,0.1,NA,-12.4323945307936,11723.9559248346,0.253327462082035,0.787276927615214,1.04060438969725,123.955924834641,1.05728753698287,1.14115207280181
"90",1947-01-01,161.9,87.1,0,39.6,34.4,0.9,NA,-16.4983989716023,11869.357525863,0.333632211463111,1.03122683543143,1.36485904689454,145.401601028399,1.22501660862075,1.42094418561592
"91",1948-01-01,217.2,173.4,0,31.2,10.7,1.8,NA,-22.1337384597407,12064.4237874033,0.25861160507787,1.54089414692231,1.79950575200018,195.066261540258,1.61687176261108,1.43981456335655
"92",1949-01-01,171.8,145.8,0,24.7,0,1.3,NA,-17.5072572163143,12218.716530187,0.202148891325675,1.20389076574926,1.40603965707494,154.292742783688,1.26275736410202,1.25703430739175
"93",1950-01-01,172.4,144.2,0,26.6,0,1.5,NA,-17.5684001402362,12373.5481300467,0.214974716390419,1.17751188639414,1.39248660278456,154.831599859763,1.25131125068148,1.24996476322283
"94",1951-01-01,171.9,148.9,0,21.4,0,1.7,7.48,-4.76793638578948,12530,0.170790103750998,1.20191540303272,1.37270550678372,156.451869953251,1.24861827576417,1.46320970257279
"95",1952-01-01,209,175,0,32.1,0,1.9,9.2,-5.86430678466085,12743.8158868763,0.251886878192088,1.38812426019253,1.64001113838462,213.815886876298,1.67780112938141,1.88185423513161
"96",1953-01-01,279.2,211,0,60.5,0,7.7,12.1,-7.71283827113003,13015.3030486052,0.464837428479882,1.68032967948017,2.14516710796005,271.48716172887,2.08590734088182,2.17186176255131
"97",1954-01-01,309,206.1,0,88,0,14.8,13.1,-8.35026292163665,13315.9527856835,0.660861460057233,1.65891246053003,2.31977392058726,300.649737078364,2.2578161842208,2.02625104223271
"98",1955-01-01,283.3,168.9,0,109.9,0,4.4,24.4,-15.5531614723614,13559.2996242112,0.810513839547915,1.27808961231714,2.08860345186506,243.346838527639,1.79468590024462,1.66897693968264
"99",1956-01-01,268.7,146.6,0,119.6,0,2.5,34.3,-21.8636655123769,13771.8359586988,0.868439040071896,1.08264432169498,1.95108336176688,212.536334487622,1.54326797912065,1.47266213232282
"100",1957-01-01,268.7,143.8,0,122.9,0,1.9,44.5,-28.3653969475443,13967.6705617513,0.879889022701799,1.04312311316234,1.92301213586414,195.834603052457,1.40205628552499,1.25109187232883
"101",1958-01-01,241.5,116.3,0,124.1,0,1.1,52.6,-33.5285366166479,14123.0420251346,0.878705874974675,0.831265670604567,1.70997154557924,155.371463383352,1.10012745913266,1.09314738131246
"102",1959-01-01,249.4,101.8,0,146.5,0,1.1,57.6,-36.715659869181,14278.1263652654,1.02604498834239,0.720682793859607,1.746727782202,155.084340130819,1.08616730349225,1.15368919258385
"103",1960-01-01,269.2,105.4,0,162.1,0,1.7,56.6,-36.0782352186744,14454.6481300467,1.12143857492487,0.74093813309348,1.86237670801835,176.521764781324,1.22121108167545,1.26386195881278
"104",1961-01-01,268.8,96.9,0,170.4,0,1.6,62,-4.56067796610147,14646,1.16345759934453,0.672538577085894,1.83599617643042,191.351869953254,1.30651283595012,1.40180500376332
"105",1962-01-01,278.7,110.1,0,167,0,1.6,62.4,-4.59010169491502,14868.5973503857,1.12317252303337,0.751247729478008,1.87442025251138,222.597350385728,1.49709717157653,1.42783699571904
"106",1963-01-01,270.7,100.5,0,168.2,0,1.9,61.4,-4.51654237288113,15073.3808080128,1.11587441558291,0.679343282732997,1.79521769831591,204.783457627122,1.35857681986155,1.56170176645032
"107",1964-01-01,336.5,123.3,0,210.4,0,2.9,61.2,-4.50183050847435,15344.1789775044,1.37120402667657,0.822461730829769,2.19366575750634,270.798169491525,1.76482671303909,1.78485508193141
"108",1965-01-01,347.2,137.1,0,206.2,0,3.8,60.7,-4.4650508474574,15626.2139266569,1.31957748030213,0.901689946530408,2.22126742683254,282.034949152543,1.80488345082373,1.7757636394731
"109",1966-01-01,349.5,147.5,0,197.5,0,4.4,66.8,-4.91376271186416,15904.0001639451,1.24182594293315,0.955105623957191,2.19693156689034,277.786237288135,1.74664382812248,1.75798648748207
"110",1967-01-01,362.9,165.1,0,192.9,0,4.8,71.2,-5.2374237288133,16190.4627402162,1.19144216626278,1.04938322471771,2.24082539098048,286.462576271184,1.76932914684165,1.77889526985585
